Archivo,Cara,Ojo,Pupila,Blanco,Negro,Rojo,Amarillo,Flash,Positivo
"\Neg16.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg16.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg17.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg17.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg18.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg18.jpg","99","99","2","1.0","0.0","0.0","0.0","false","false","seleccion manual"
"\Neg19.jpg","1","4","1","0.05946337926033358","0.9325598259608412","0.007976794778825236","0.0","true","false","mayor"
"\Neg19.jpg","99","99","1","0.22570532915360503","0.774294670846395","0.0","0.0","true","false","seleccion manual"
"\Neg19.jpg","99","99","2","0.27300613496932513","0.4171779141104294","0.3098159509202454","0.0","true","false","seleccion manual"
"\Neg20.jpg","1","1","1","0.0","1.0","0.0","0.0","false","false","invalido"
"\Neg20.jpg","1","2","1","0.0","0.9090909090909091","0.09090909090909091","0.0","false","false","mayor"
"\Neg20.jpg","99","99","1","NaN","NaN","NaN","NaN","false","false","seleccion manual"
"\Neg20.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg21.jpg","2","3","1","0.0","1.0","0.0","0.0","false","false","falso ojo"
"\Neg21.jpg","3","3","1","0.0","0.0","1.0","0.0","false","false","falso ojo"
"\Neg21.jpg","4","2","1","0.9545454545454546","0.00909090909090909","0.03636363636363636","0.0","false","false","parcial"
"\Neg21.jpg","99","99","1","0.0","0.7142857142857143","0.2857142857142857","0.0","false","false","seleccion manual"
"\Neg21.jpg","99","99","2","0.0","0.5370370370370371","0.46296296296296297","0.0","false","false","seleccion manual"
"\Neg21.jpg","99","99","3","0.0","0.1875","0.8125","0.0","false","false","seleccion manual"
"\Neg21.jpg","99","99","4","0.0","0.4864864864864865","0.5135135135135135","0.0","false","false","seleccion manual"
"\Neg21.jpg","99","99","5","0.03571428571428571","0.05357142857142857","0.9107142857142857","0.0","false","false","seleccion manual"
"\Neg22.jpg","1","1","1","0.17647058823529413","0.0","0.8235294117647058","0.0","true","false",
"\Neg22.jpg","1","3","1","0.22549019607843138","0.0","0.7745098039215687","0.0","true","false",
"\Neg22.jpg","1","4","1","0.0","0.0","1.0","0.0","true","false","falso ojo"
"\Neg23.jpg","1","1","1","0.03296703296703297","0.16483516483516483","0.8021978021978022","0.0","true","false","parcial"
"\Neg23.jpg","1","2","1","0.07865168539325842","0.3146067415730337","0.6067415730337079","0.0","true","false","parcial"
"\Neg23.jpg","99","99","1","0.0392156862745098","0.23529411764705882","0.7254901960784313","0.0","true","false","seleccion manual"
"\Neg23.jpg","99","99","2","0.034482758620689655","0.034482758620689655","0.9310344827586207","0.0","true","false","seleccion manual"
"\Neg24.jpg","2","1","1","0.0","0.9925595238095238","0.001488095238095238","0.005952380952380952","false","false","iris"
"\Neg24.jpg","2","2","1","0.0","1.0","0.0","0.0","false","false","iris"
"\Neg24.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg24.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg25.jpg","1","1","1","0.05511811023622047","0.9448818897637795","0.0","0.0","false","false","iris"
"\Neg25.jpg","1","2","1","0.0","0.5151515151515151","0.48484848484848486","0.0","false","false","parcial"
"\Neg25.jpg","99","99","1","0.03888888888888889","0.95","0.011111111111111112","0.0","false","false","seleccion manual"
"\Neg25.jpg","99","99","2","0.04591836734693878","0.8520408163265306","0.10204081632653061","0.0","false","false","seleccion manual"
"\Neg26.jpg","1","1","1","0.0","0.20430107526881722","0.0","0.7956989247311828","true","false",
"\Neg26.jpg","1","2","1","0.003875968992248062","0.5090439276485789","0.23255813953488372","0.25452196382428943","true","false","mayor"
"\Neg26.jpg","99","99","1","0.0","0.5432525951557093","0.0726643598615917","0.38408304498269896","true","false","seleccion manual"
"\Neg27.jpg","1","1","1","0.0","1.0","0.0","0.0","false","false","invalido"
"\Neg27.jpg","1","2","1","0.0","1.0","0.0","0.0","false","false","mayor"
"\Neg27.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg27.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg28.jpg","1","1","1","0.0","1.0","0.0","0.0","false","false",
"\Neg28.jpg","1","2","1","NaN","NaN","NaN","NaN","false","false","iris"
"\Neg28.jpg","99","99","1","NaN","NaN","NaN","NaN","false","false","seleccion manual"
"\Neg28.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg29.jpg","1","1","1","0.0","1.0","0.0","0.0","false","false","mayor"
"\Neg29.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg29.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg30.jpg","99","99","1","0.0","1.0","0.0","0.0","false","false","seleccion manual"
"\Neg30.jpg","99","99","2","0.0","1.0","0.0","0.0","false","false","seleccion manual"
